Applicant Name,Area,Band,Awarded Amount
Photofusion,London,Band 1,"£145,524"
Photoworks,South East,Band 2,"£273,252"
Pilot Theatre Ltd,North,Band 2,"£335,787"
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,London,Band 3,"£1,125,847"
Play to the Crowd,South West,Band 1,"£136,627"
Plymouth Culture CIO,South West,SSO,"£135,447"
Plymouth Music Zone Ltd,South West,Band 1,"£132,392"
Pocklington Arts Centre,North,Band 1,"£70,779"
PoemsOnTheUnderground,London,Band 1,"£53,675"
Poet in the City,London,Band 1,"£68,313"
Poetry London,London,Band 1,"£48,795"
Poetry Translation Centre Ltd,London,Band 1,"£126,867"
Polish Expats Association cic,Midlands,Band 1,"£98,785"
Polka Theatre,London,Band 2,"£580,711"
Poole Arts Trust Ltd,South West,Band 2,"£348,510"
Poole Museum (Wessex Museums Partnership),South West,Band 2,"£325,379"
Pop Up Projects CIC,London,Band 1,"£86,771"
Prema Arts Centre,South West,Band 1,"£70,532"
Preston City Council,North,Band 1,"£229,140"
Primary,Midlands,Band 1,"£66,196"
Prime Theatre,South West,Band 1,"£89,555"
Prism Arts,North,Band 1,"£51,544"
Project Art Works,South East,Band 1,"£152,430"
Project Phakama UK,London,Band 1,"£84,630"
Project Space Leeds,North,Band 2,"£254,600"
Protein Dance Ltd,London,Band 1,"£243,155"
Proteus Theatre Company,South West,Band 1,"£69,862"
Psappha Limited,North,Band 1,"£83,509"
PUNCH RECORDS,Midlands,Band 2,"£256,076"
Punchdrunk,London,Band 1,"£230,468"
Quarantine,North,Band 1,"£163,889"
Queen's Hall Arts,North,Band 1,"£120,321"
Rambert,London,Band 3,"£2,278,161"
Raw Material Music and Media Education,London,Band 1,"£119,391"
Readipop,South East,Band 1,"£91,656"
Real Ideas Organisation CIC,South West,SSO,"£891,793"
Real Ideas Organisation CIC,South West,Band 1,"£152,760"
Red Earth Theatre Limited,Midlands,Band 1,"£102,431"
Red Ladder Theatre Company,North,Band 1,"£168,036"
Redbridge Drama Centre,London,Band 1,"£66,196"
Redeye (North West Photography Network) Ltd,North,SSO,"£89,539"
Resonance,London,Band 1,"£163,226"
Rich Mix Cultural Foundation,London,Band 2,"£307,290"
Rifco Arts,South East,Band 2,"£331,391"
Ripon Museum Trust,North,Band 1,"£142,576"
RJC Dance,North,Band 1,"£76,608"
Rosehill Arts Trust,North,Band 1,"£63,433"
Rosetta Art Centre CIO,London,Band 1,"£45,828"
Rotherham Open Arts Renaissance (ROAR),North,Band 1,"£71,735"
Royal Court Liverpool Trust,North,Band 1,"£213,864"
Royal Exchange Theatre Company Ltd,North,Band 3,"£2,374,909"
Royal Liverpool Philharmonic,North,Band 3,"£2,272,708"
Royal Opera House,London,Band 3,"£24,470,971"
Royal Opera House,London,SSO,"£740,215"
Royal Pavilion & Museums Trust,South East,SSO,"£521,026"
Royal Pavilion & Museums Trust,South East,Band 2,"£711,360"
Royal Philharmonic Orchestra Ltd,London,Band 2,"£963,808"
Royal Shakespeare Company,Midlands,Band 3,"£15,259,706"
RTYDS Ltd,North,SSO,"£188,404"
Rural Arts North Yorkshire,North,Band 1,"£76,898"
Rural Media Charity,Midlands,Band 1,"£251,036"
Russell Maliphant Company,South East,Band 1,"£253,582"
Sadler's Wells,London,Band 3,"£2,501,346"
Sampad (South Asian Arts Development),Midlands,Band 1,"£248,394"
Scarborough Theatre Trust Ltd,North,Band 2,"£649,449"
ScreenSkills Limited,London,SSO,"£305,520"
Serendipity,Midlands,Band 1,"£213,864"
Serious Events Limited,London,Band 2,"£461,109"
Serpentine Galleries,London,Band 3,"£1,215,690"
"Seven Stories, The National Centre for Children's Books",North,Band 2,"£588,230"
Shademakers UK Carnival Club,South West,Band 1,"£51,215"
Shakespeare Birthplace Trust,Midlands,Band 1,"£224,048"
Shape London,London,Band 2,"£291,824"
Sheffield Doc/Fest,North,Band 1,"£143,340"
Sheffield Museums Trust,North,Band 2,"£814,720"
Sheffield Theatres Trust Ltd,North,Band 3,"£1,303,415"
Shobana Jeyasingh Dance Company,London,Band 2,"£263,493"
Shubbak: A Window on Contemporary Arab Culture,London,Band 1,"£86,564"
SICK! Productions,North,Band 1,"£254,091"
Sinfonietta Productions Limited,London,Band 2,"£508,757"
Siobhan Davies Dance,London,Band 2,"£592,727"
Site Gallery,North,Band 2,"£319,887"
Slung Low Limited,North,Band 1,"£188,548"
Small Green Shoots,London,Band 1,"£122,208"
Soft Touch Arts Ltd,Midlands,Band 1,"£90,139"
Soho Theatre Company,London,Band 2,"£614,582"
Somerset Art Works,South West,Band 1,"£91,656"
Somerset Film and Video Ltd,South West,Band 1,"£89,062"
Sonia Sabri Company,Midlands,Band 1,"£127,335"
Sound UK Arts,London,Band 1,"£102,431"
SoundCity,North,Band 1,"£203,680"
South Asian Arts-uk,North,Band 1,"£184,330"
South East Dance Ltd,South East,Band 2,"£580,660"
South Kesteven District Council,Midlands,Band 1,"£251,742"
South London Gallery,London,Band 2,"£826,345"
South West Museum Development,South West,SSO,"£540,204"
Southampton City Council,South West,Band 1,"£101,840"
Southbank Centre,London,Band 3,"£18,697,824"
Spare Tyre Theatre Company Ltd,London,Band 1,"£153,646"
Spike Island Artspace Ltd,South West,Band 2,"£285,152"
SPILL Festival Limited,South East,Band 2,"£271,615"
Spitalfields Festival Ltd.,London,Band 1,"£71,288"
Spread the Word,London,Band 1,"£201,029"
ss Great Britain Trust,South West,Band 1,"£213,864"
St Helens Council Library Service,North,Band 1,"£112,024"
St Pauls Carnival (Bristol) CIC,South West,Band 1,"£152,760"
Stagetext,London,SSO,"£273,718"
Stanley Picker Gallery,London,Band 1,"£81,472"
Stan's Cafe,Midlands,Band 1,"£159,751"
Stockton Arts Centre Ltd,North,Band 2,"£311,723"
Stockton Borough Council Tees Valley Museum Group,North,Band 2,"£381,900"
Stockton International Riverside Festival,North,Band 2,"£306,901"
Stoke on Trent & North Staffordshire Theatre Trust,Midlands,Band 2,"£949,557"
Stopgap Dance Company,South East,Band 2,"£281,744"
Streetwise Opera,London,Band 1,"£102,431"
Strike A Light (Gloucester),South West,Band 1,"£86,564"
Stroud Valleys Artspace,South West,Band 1,"£70,216"
Studio 3 Arts,London,Band 1,"£120,164"
Studio Voltaire,London,Band 1,"£68,313"
Studio Wayne McGregor,London,Band 2,"£524,692"
Suffolk Libraries,South East,Band 1,"£179,238"
Sunderland Culture,North,Band 2,"£509,200"
Sunshine International Arts,London,Band 1,"£76,380"
Swindon Dance,South West,Band 1,"£209,994"
Take A Part CIO,South West,Band 1,"£50,920"
Take Art Limited,South West,Band 1,"£163,377"
Talawa Theatre Company Ltd,London,Band 2,"£448,407"
Talking Birds Theatre Company Limited,Midlands,Band 1,"£103,620"
Tamasha Theatre Company,London,Band 2,"£320,251"
Tangle Ltd,South West,Band 1,"£102,858"
Tangled Feet,South East,Band 1,"£196,495"
Tavaziva Dance,London,Band 1,"£191,973"
Teesside University,North,Band 2,"£520,155"
Tete a Tete,London,Band 1,"£102,431"
Thackray Medical Museum,North,Band 1,"£225,968"
Thames Festival Trust,London,Band 1,"£152,760"
the Albany,London,Band 1,"£179,254"
the Albany,London,SSO,"£132,392"
The Alternative Theatre Company Ltd.,London,Band 2,"£606,234"
The Anvil Trust Ltd,South West,Band 1,"£141,506"
The Artangel Trust,London,Band 2,"£868,016"
The Arts Depot Trust Ltd,London,Band 2,"£307,290"
The Ashton Group Theatre,North,Band 1,"£81,975"
The Audience Agency,North,SSO,"£763,800"
The Bluecoat,North,Band 2,"£495,846"
The Bowes Museum,North,Band 2,"£374,575"
The Bronte Society,North,Band 1,"£236,778"
The Children's Bookshow,London,Band 1,"£68,313"
THE CLAY FOUNDATION CIO,Midlands,Band 1,"£178,220"
The Courtyard Trust,Midlands,Band 1,"£216,778"
The Creative Art House,North,Band 1,"£251,633"
The Customs House,North,Band 1,"£102,530"
The DanceXchange Limited,Midlands,Band 2,"£774,112"
The Devon Guild of Craftsmen,South West,Band 1,"£158,419"
The Dukes Playhouse Ltd,North,Band 2,"£260,904"
The Forge,North,Band 1,"£58,554"
The Gate Theatre Company Ltd,London,Band 2,"£311,966"
The Geffrye Museum,London,Band 1,"£244,416"
The Hall For Cornwall Trust,South West,Band 2,"£383,206"
The Hepworth Wakefield Trust,North,Band 2,"£922,773"
The Lawnmowers Independent Theatre Company,North,Band 1,"£62,120"
The Literary Consultancy,London,Band 1,"£75,346"
The Lowry Centre Trust,North,Band 2,"£875,824"
The Lyric Theatre Hammersmith Limited,London,Band 3,"£1,120,240"
The Maltings Berwick Trust Limited,North,Band 1,"£179,633"
The Met,North,Band 1,"£102,431"
The Midi Music Company,London,Band 1,"£119,391"
The Mighty Creatives,Midlands,SSO,"£878,347"
The Ministry of Stories,London,Band 1,"£90,753"
The National Holocaust Centre and Museum,Midlands,Band 2,"£305,520"
The National Youth Brass Band of Great Britain,South East,Band 1,"£62,177"
The New Carnival Company CIC,South West,Band 1,"£78,072"
The NewBridge Project,North,Band 1,"£71,288"
The Octagon Theatre Trust,North,Band 2,"£625,359"
The Organisation for New Music and Sound,London,Band 2,"£717,625"
The Photographers' Gallery,London,Band 2,"£918,867"
The Poetry Archive,South West,Band 1,"£108,576"
The Poetry School,London,Band 1,"£142,993"
The Poetry Society,London,Band 2,"£361,083"
The Point,South West,Band 1,"£127,300"
The Pound Arts Trust Ltd,South West,Band 1,"£76,823"
The Reader,North,Band 1,"£178,220"
The Reading Agency,London,Band 2,"£484,141"
The Ropewalk (Barton) Ltd,North,Band 1,"£68,313"
The Roundhouse Trust,London,Band 2,"£992,648"
The Seachange Trust,South East,Band 2,"£397,176"
The Showroom,London,Band 1,"£130,247"
The Spark Arts for Children,Midlands,Band 1,"£176,047"
The Spring Arts & Heritage Centre,South West,Band 1,"£122,208"
The Story Museum,South East,Band 1,"£178,220"
The Tank Museum,South West,Band 1,"£122,208"
The Theatre Orchard,South West,Band 1,"£91,656"
The Wigmore Hall Trust,London,Band 2,"£344,206"
The Writing Squad,North,Band 1,"£99,541"
The Yard Theatre Ltd.,London,Band 1,"£152,760"
The York Early Music Foundation,North,Band 2,"£275,444"
Theatre Alibi,South West,Band 1,"£246,042"
Theatre Bristol Ltd,South West,Band 1,"£108,954"
Theatre Centre,London,Band 1,"£244,416"
Theatre de Complicite Education Ltd,London,Band 2,"£370,313"
Theatre Hullabaloo,North,Band 2,"£254,924"
Theatre in the Mill,North,Band 1,"£122,382"
Theatre Peckham,London,Band 1,"£145,554"
Theatre Royal (Plymouth) Ltd,South West,Band 3,"£1,207,313"
Theatre-Rites,London,Band 1,"£244,812"
Third Angel,North,Band 1,"£122,208"
Threshold Studios,Midlands,Band 1,"£81,945"
Tiata Fahodzi Ltd,South East,Band 1,"£213,864"
TIN Arts,North,Band 1,"£82,952"
Tobacco Factory Theatres,South West,Band 1,"£61,458"
Together! 2012 CIC,London,Band 1,"£61,104"
Told by an Idiot,London,Band 1,"£171,309"
Tom Dale Company,Midlands,Band 1,"£160,500"
Tomorrow's Warriors Ltd,London,Band 1,"£212,585"
Towner Art Gallery,South East,Band 2,"£365,962"
Travaux Sauvages Ltd t/a Wildworks,South West,Band 1,"£209,983"
Travelling Light Theatre Company,South West,Band 1,"£205,717"
Triangle Arts Trust,London,Band 2,"£290,108"
Tullie House Museum and Art Gallery,North,Band 3,"£1,187,313"
Turner Contemporary,South East,Band 2,"£681,791"
"Turner Sims, Southampton",South West,Band 1,"£43,915"
tutti frutti productions,North,Band 1,"£181,991"
Tyne & Wear Archives & Museums,North,Band 3,"£3,194,648"
Tyne & Wear Archives & Museums,North,SSO,"£159,824"
Tyne & Wear Archives & Museums,North,SSO,"£509,200"
Tyneside Cinema,North,Band 1,"£126,562"
UK New Artists,Midlands,Band 1,"£152,760"
UK Storyhouse Ltd,North,Band 1,"£228,015"
Unfolding Theatre,North,Band 1,"£106,932"
Unicorn Theatre London Ltd,London,Band 3,"£1,327,875"
Unity Theatre,North,Band 2,"£277,005"
University of Cambridge Museums,South East,Band 3,"£1,235,069"
University of Derby Theatre limited,Midlands,Band 2,"£809,628"
"University of Leicester, Attenborough Arts Centre",Midlands,Band 1,"£210,809"
University of Oxford,South East,Band 3,"£1,341,170"
University of the Arts London – Afterall,London,Band 1,"£71,941"
University of the Arts London (trading as Artquest),London,SSO,"£127,355"
University of Warwick,Midlands,Band 2,"£501,169"
Unlimited Theatre,North,Band 1,"£169,176"
UP Projects,London,Band 1,"£102,431"
Upswing Aerial Limited,London,Band 1,"£117,795"
Urban Development Ltd,London,Band 1,"£153,646"
Vamos Theatre Company,Midlands,Band 1,"£203,680"
Vane Contemporary Art Limited,North,Band 1,"£61,517"
Venture Arts,North,Band 1,"£106,932"
Vincent Dance Theatre,South East,Band 1,"£254,599"
Vital Xposure,London,Band 1,"£102,431"
Viva Chamber Orchestra Ltd,Midlands,Band 1,"£195,642"
Vivid Projects,Midlands,Band 1,"£75,871"
VocalEyes,London,SSO,"£227,929"
Wakefield Council – Museums,North,Band 1,"£208,772"
Walk The Plank,North,Band 1,"£148,337"
Walsall Council,Midlands,Band 2,"£897,706"
Wasafiri Ltd,London,Band 1,"£60,506"
Watermill Theatre,South East,Band 2,"£458,673"
Watershed Arts Trust Ltd,South West,Band 2,"£757,984"
Watts Gallery Trust,South East,Band 1,"£101,840"
Wavendon Allmusic Plan Ltd,South East,Band 2,"£386,201"
We are IVE,North,SSO,"£1,043,576"
Welsh National Opera,Midlands,Band 3,"£6,235,663"
West Yorkshire Print Workshop,North,Band 1,"£55,366"
Whitechapel Gallery,London,Band 3,"£1,537,955"
Wiltshire Creative,South West,Band 3,"£1,301,458"
Wiltshire Music Centre Trust Ltd,South West,Band 1,"£103,546"
Wired Aerial Theatre Ltd,North,Band 1,"£168,036"
Wise Children,South West,Band 2,"£483,740"
Without Walls,North,Band 3,"£1,222,080"
Wolverhampton City Council,Midlands,Band 1,"£170,842"
Woodhorn Charitable Trust,North,Band 1,"£203,680"
Workplace Foundation,North,Band 1,"£107,349"
World Heart Beat Music Academy,London,Band 1,"£86,564"
Writing East Midlands,Midlands,Band 1,"£128,038"
Writing on the Wall,North,Band 1,"£78,072"
Writing West Midlands,Midlands,Band 1,"£184,375"
Wysing Arts Centre,South East,Band 2,"£465,173"
Yaram Arts CIC,London,Band 1,"£81,370"
York Citizens' Theatre Trust,North,Band 2,"£598,059"
York Museums Trust,North,SSO,"£345,219"
York Museums Trust,North,Band 3,"£1,252,632"
Yorkshire Artspace Society Ltd,North,Band 1,"£73,192"
Yorkshire Dance Centre Trust,North,Band 2,"£331,789"
Yorkshire Sculpture Park,North,Band 3,"£1,336,799"
Young Vic Company,London,Band 3,"£1,792,530"
Z-arts,North,Band 2,"£259,692"
ZoieLogic Dance Theatre,South West,Band 1,"£213,864"
ZooNation: The Kate Prince Company Ltd,London,Band 1,"£254,599"
