Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
Cohesion Plus Kent,NPO,"£104,375","£106,296","£188,796",Combined arts,South East,South East,Gravesham,Gravesham,LUCP,Non-Priority place,,
Colchester Arts Centre,NPO,"£190,695","£194,204","£219,204",Combined arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,,
Colchester Borough Council,NPO,"£199,250","£202,916","£398,016",Museums,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,,
Colchester Mercury Theatre Ltd.,NPO,"£777,378","£791,682","£791,682",Theatre,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,,
Collar and TIE Ltd,NPO,"£71,383","£72,696","£72,696",Combined arts,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,,
Collections Trust,IPSO,"£230,000","£234,232","£234,232",Museums,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Collusion,NPO,£0,£0,"£150,000",Combined arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
CoMA,NPO,£0,£0,"£115,000",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Comma Press,NPO,"£83,160","£84,690","£98,380",Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Common Wealth,NPO,"£145,000","£147,668","£147,668",Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
Commonword Enterprises Limited,NPO,"£94,247","£95,981","£171,854",Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Community and Cultural Services,NPO,"£173,745","£176,942","£176,942",Libraries,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
Community Arts North West,NPO,"£191,102","£194,618","£194,618",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Community Music Ltd,NPO,"£133,961","£136,426","£136,426",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Como No Promotions Ltd,NPO,£0,£0,"£125,000",Music,London,London,Dulwich and West Norwood,Southwark,Non-LUCP,Non-Priority place,,
Company Chameleon,NPO,"£249,999","£254,599","£329,599",Dance,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Company of Others,NPO,£0,£0,"£220,000",Dance,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Company Three,NPO,£0,£0,"£175,000",Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,,
Compton Verney House Charity,NPO,"£150,000","£152,760","£152,760",Museums,Midlands,West Midlands,Kenilworth and Southam,Stratford-on-Avon,Non-LUCP,Non-Priority place,,
Contains Art CIO,NPO,£0,£0,"£248,000",Combined arts,South West,South West,Bridgwater and West Somerset,Somerset West and Taunton,Non-LUCP,Non-Priority place,,
Contemporary Art Society,NPO,"£168,324","£171,421","£171,421",Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Contemporary Dance Trust,NPO,"£1,793,985","£1,826,994","£1,826,994",Dance,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Continental Drifts,NPO,"£119,996","£122,204","£122,100",Music,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,,
Corali,NPO,"£100,000","£101,840","£123,340",Dance,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,,
Corby Cube Theatre Trust,NPO,"£140,812","£143,403","£173,403",Combined arts,Midlands,East Midlands,Corby,North Northamptonshire,LUCP,Non-Priority place,,
Corn Exchange (Newbury) Trust,NPO,"£235,000","£239,324","£396,690",Combined arts,South East,South East,Newbury,West Berkshire,Non-LUCP,Non-Priority place,,
Cornwall Museums Partnership,NPO,"£610,000","£621,224","£621,224",Museums,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,,
Cosmopolitan Arts,NPO,£0,£0,"£200,000",Combined arts,Midlands,East Midlands,Harborough,Oadby and Wigston,LUCP,Non-Priority place,,
Counterpoints Arts,NPO,"£80,000","£81,472","£106,472",Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Crafts Council,NPO,"£2,503,853","£2,549,924","£2,222,889",Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Craftspace,NPO,"£211,553","£215,446","£215,446",Visual arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
Create Define Release CIC,NPO,£0,£0,"£272,500",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Create Gloucestershire,IPSO,"£70,756","£72,058","£72,058",Not discipline specific,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,,
Create London,NPO,"£150,000","£152,760","£152,760",Visual arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
Create Studios Digital Media CIC,NPO,"£95,000","£96,748","£185,684",Visual arts,South West,South West,South Swindon,Swindon,LUCP,Priority place,,
Creative Arts East,NPO,"£150,000","£152,760","£204,760",Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,,
Creative Folkestone,NPO,"£400,000","£407,360","£407,360",Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,,
Creative Future Ltd,NPO,£0,£0,"£120,000",Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Creative Kernow Ltd,NPO,"£212,675","£216,588","£216,588",Not discipline specific,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,,
Creative Lives Charity Limited,IPSO,"£165,827","£168,878","£168,878",Not discipline specific,Midlands,Wales,Cardiff South and Penarth,Cardiff,Non-LUCP,Non-Priority place,,
Crescent Arts,NPO,"£69,789","£71,073","£71,073",Visual arts,North,Yorkshire and The Humber,Scarborough and Whitby,Scarborough,Non-LUCP,Non-Priority place,,
Creswell Heritage Trust,NPO,£0,£0,"£358,375",Museums,Midlands,East Midlands,Bolsover,Bolsover,LUCP,Priority place,,
Crying Out Loud,NPO,"£211,217","£215,103","£307,488",Theatre,South West,South East,Portsmouth South,Portsmouth,LUCP,Priority place,,
CT20 Projects CIC,NPO,£0,£0,"£125,000",Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,,
Cubitt Artists Limited,NPO,"£112,095","£114,158","£114,156",Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Cultural Co-operation,IPSO (Transfer),£0,£0,"£229,677",Not discipline specific,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Culturapedia,NPO,£0,£0,"£50,000",Combined arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,,
Culture Central,IPSO,£0,£0,"£275,000",Not discipline specific,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
Culture Coventry,NPO,"£400,000","£407,360","£407,360",Museums,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
Culture Squared CIC,NPO,"£300,000","£305,520","£1,055,520",Literature,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
"Culture, Health & Wellbeing Alliance CIC",IPSO,£0,"£96,748","£216,579",Not discipline specific,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
"Culture, Learning and Libraries (Midlands) - Library Service",NPO,"£249,999","£254,599","£504,599",Libraries,Midlands,East Midlands,Nottingham North,Nottingham,Non-LUCP,Non-Priority place,,
CultureMix Arts Ltd,NPO,"£90,000","£91,656","£166,656",Music,South East,South East,Reading West,Reading,Non-LUCP,Non-Priority place,,
Cumbria Theatre Trust,NPO,"£604,067","£615,182","£615,182",Theatre,North,North West,Copeland,Allerdale,Non-LUCP,Non-Priority place,,
Curious Minds,NPO,"£1,335,323","£1,359,893","£800,000",Not discipline specific,North,North West,Wigan,Wigan,LUCP,Priority place,,
DaDaFest,NPO,"£193,052","£196,604","£246,104",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Daily Life Ltd,NPO,"£88,510","£90,139","£112,840",Combined arts,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,,
Dance City,NPO,"£553,857","£564,048","£564,048",Dance,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Dance Consortium,NPO,"£489,367","£498,371","£450,000",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Dance Umbrella,NPO,"£352,028","£358,505","£358,505",Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Dance United Yorkshire,NPO,"£90,000","£91,656","£91,656",Dance,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,,
DanceEast,NPO,"£810,153","£825,060","£825,060",Dance,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
Dancefest,NPO,"£85,493","£87,066","£87,066",Dance,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,,
DanceSyndrome,NPO,£0,£0,"£100,000",Dance,North,North West,Hyndburn,Hyndburn,LUCP,Non-Priority place,,
Darbar Arts Culture Heritage Trust,NPO,"£245,000","£249,508","£582,512",Music,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
darts (Doncaster Community Arts),NPO,"£130,881","£133,289","£133,289",Combined arts,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,,
De La Warr Pavilion,NPO,"£508,430","£517,785","£517,785",Combined arts,South East,South East,Bexhill and Battle,Rother,Non-LUCP,Non-Priority place,,
Deaf Explorer CIC,IPSO,£0,£0,"£250,000",Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
Deafinitely Theatre,NPO,"£212,110","£216,013","£265,083",Theatre,London,London,Brent North,Brent,Non-LUCP,Priority place,,
Déda,NPO,"£343,374","£349,692","£349,692",Dance,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Dedalus Limited,NPO (Transfer),"£40,000","£40,736","£50,000",Literature,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,,
Deptford X Ltd.,NPO,£0,£0,"£97,000",Visual arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Derby Museums,NPO,"£392,870","£400,099","£550,099",Museums,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Derby QUAD Ltd,NPO,"£457,753","£466,176","£466,176",Combined arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Design Museum,NPO,"£170,000","£173,128","£173,128",Visual arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,,
Devonshire Collective,NPO,£0,£0,"£70,000",Visual arts,South East,South East,Eastbourne,Eastbourne,LUCP,Non-Priority place,,
Disability Arts in Shropshire,NPO,"£120,000","£122,208","£216,208",Visual arts,Midlands,West Midlands,Shrewsbury and Atcham,Shropshire,Non-LUCP,Non-Priority place,,
Disability Arts Online,NPO,"£100,000","£101,840","£146,492",Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Diverse City,NPO,"£480,000","£488,832","£536,476",Combined arts,South West,South West,South Dorset,Dorset,Non-LUCP,Non-Priority place,,
DIY Theatre Community Interest Company,NPO,£0,£0,"£99,000",Theatre,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,,
Doncaster Heritage Services,NPO,"£100,000","£101,840","£101,840",Museums,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,,
Doorstep Arts,NPO,"£95,561","£97,319","£97,319",Theatre,South West,South West,Torbay,Torbay,LUCP,Non-Priority place,,
Drake Music,NPO,"£194,045","£197,615","£224,565",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Drawing Room,NPO,"£50,289","£51,214","£51,214",Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Duckie,NPO,"£142,492","£145,114","£145,114",Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Durham County Council,NPO,"£415,000","£422,636","£532,636",Combined arts,North,North East,City of Durham,County Durham,LUCP,Priority place,,
East London Dance,NPO,"£241,391","£245,833","£245,833",Dance,London,London,West Ham,Newham,Non-LUCP,Priority place,,
East Lyndsey District Council,NPO,£0,£0,"£651,933",Combined arts,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,,
East Midlands Jazz CIC,NPO,"£77,446","£78,871","£78,871",Music,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales,Non-LUCP,Non-Priority place,,
East Riding Libraries,NPO,£0,£0,"£165,000",Libraries,North,Yorkshire and The Humber,Beverley and Holderness,East Riding of Yorkshire,LUCP,Non-Priority place,,
East Street Arts,NPO,"£334,960","£341,123","£341,123",Visual arts,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Eastern Angles Theatre Company Ltd,NPO,"£220,402","£224,457","£224,457",Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
Eastside Educational Trust,NPO,"£50,788","£51,722","£51,722",Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Eclipse Theatre Company Ltd,NPO,"£249,501","£254,092","£563,474",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Eden Arts,NPO,"£100,000","£101,840","£101,840",Combined arts,North,North West,Penrith and The Border,Eden,Non-LUCP,Non-Priority place,,
EGO Performance Company Ltd,NPO,£0,£0,"£380,000",Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
emccan CIC,NPO,"£150,725","£153,498","£234,998",Combined arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Emergency Exit Arts,NPO,"£117,924","£120,094","£120,094",Combined arts,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
English Folk Dance and Song Society,NPO,"£432,046","£439,996","£300,000",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
English Folk Expo,NPO,"£95,000","£96,748","£96,748",Music,North,North West,Rochdale,Rochdale,LUCP,Priority place,,
English National Ballet,NPO,"£6,214,000","£6,328,338","£6,011,921",Dance,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,,
English PEN,NPO,"£229,984","£234,216","£234,216",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
English Stage Company Limited,NPO,"£2,311,234","£2,353,761","£2,236,073",Theatre,London,London,Chelsea and Fulham,Kensington and Chelsea,Non-LUCP,Non-Priority place,,
English Touring Opera Ltd,NPO (Transfer),"£1,743,322","£1,775,399","£2,130,478",Music,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
English Touring Theatre Ltd,NPO,"£679,794","£692,302","£692,302",Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Entelechy Arts Ltd,NPO,"£80,348","£81,826","£133,226",Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Essex Cultural Diversity Project,NPO,"£150,000","£152,760","£222,760",Combined arts,South East,East of England,Chelmsford,Chelmsford,Non-LUCP,Non-Priority place,,
Ex Cathedra Ltd,NPO,"£57,681","£58,742","£117,484",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Exeter City Council,NPO,"£607,191","£618,363","£618,363",Museums,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,,
Exeter City of Literature,NPO,£0,£0,"£150,000",Literature,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,,
Exeter Northcott Theatre,NPO,"£125,000","£127,300","£127,300",Combined arts,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,,
Exeter Phoenix,NPO,"£125,725","£128,038","£128,038",Combined arts,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,,
Explore York Libraries and Archives Mutual Limited,NPO,£0,£0,"£220,000",Libraries,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,,
Extant,NPO,"£156,000","£158,870","£168,870",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Eye Music Trust,NPO,"£102,205","£104,086","£104,086",Music,London,London,Croydon South,Croydon,Non-LUCP,Priority place,,
FABRIC,NPO,"£1,351,140","£1,376,001","£1,376,001",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
FACT,NPO,"£1,005,909","£1,024,418","£1,024,418",Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Family Arts Campaign Ltd,IPSO,£0,£0,"£175,000",Not discipline specific,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,,
Farnham Maltings Association,NPO,"£845,780","£861,342","£861,342",Combined arts,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,,
Festival of Making CIC,NPO,£0,£0,"£250,000",Combined arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,,
Festival of Thrift,NPO,£0,£0,"£245,000",Combined arts,North,North East,Redcar,Redcar and Cleveland,LUCP,Priority place,,
Fevered Sleep,NPO,"£201,160","£204,861","£204,861",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
FIERCE! Festival,NPO,"£130,612","£133,015","£133,015",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Film and Video Umbrella,NPO (Transfer),"£379,321","£386,301","£386,301",Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Film London,NPO,"£321,904","£327,827","£327,827",Visual arts,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,,
First Light Festival CIC,NPO,£0,£0,"£220,000",Combined arts,South East,East of England,Waveney,East Suffolk,Non-LUCP,Non-Priority place,,
Firstsite Ltd,NPO,"£814,527","£829,514","£829,515",Visual arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,,
Flatpack Projects,NPO,"£110,000","£112,024","£112,024",Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Focal Point Gallery,NPO,"£186,384","£189,813","£219,127",Visual arts,South East,East of England,Rochford and Southend East,Southend-on-Sea,Non-LUCP,Non-Priority place,,
Forced Entertainment Ltd,NPO,"£249,500","£254,091","£254,091",Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Forma Arts and Media Limited,NPO,"£259,677","£264,455","£264,455",Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Forward Arts Foundation,NPO,"£47,914","£48,796","£50,000",Literature,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Foundation for Community Dance t/a People Dancing,NPO,"£190,095","£193,593","£193,593",Dance,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Frantic Theatre Company Ltd,NPO,"£221,189","£225,259","£225,259",Theatre,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,,
Freedom Festival Arts Trust,NPO,"£249,999","£254,599","£254,599",Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Freewheelers Theatre and Media Ltd,NPO,£0,£0,"£90,000",Theatre,South East,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,,
Fresh Arts C.I.C,NPO,£0,£0,"£100,000",Combined arts,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,,
Friction Arts,NPO,"£67,500","£68,742","£68,742",Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
FRONTLINEdance,NPO,£0,£0,"£200,000",Dance,Midlands,West Midlands,Stone,Stafford,Non-LUCP,Non-Priority place,,
Frozen Light,NPO,£0,£0,"£335,000",Theatre,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,,
Fuel Productions,NPO,"£201,160","£204,861","£204,861",Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Full House Theatre,NPO,£0,£0,"£219,000",Theatre,South East,East of England,Mid Bedfordshire,Central Bedfordshire,Non-LUCP,Non-Priority place,,
Furtherfield.org,NPO (Transfer),"£78,388","£79,830","£79,830",Visual arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,,
Future Arts Centres,IPSO,£0,£0,"£160,000",Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,,
Future Foundry,NPO,£0,£0,"£175,000",Visual arts,South East,South East,Dover,Dover,LUCP,Priority place,,
Future Yard CIC,NPO,£0,£0,"£150,000",Music,North,North West,Wallasey,Wirral,LUCP,Non-Priority place,,
Gary Clarke Company Ltd,NPO,£0,£0,"£350,000",Dance,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
Gazebo,NPO,£0,£0,"£200,000",Theatre,Midlands,West Midlands,Wolverhampton South East,Wolverhampton,LUCP,Priority place,,
Gecko Theatre,NPO,"£220,402","£224,457","£224,457",Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
Geese Theatre Company Ltd,NPO,"£40,232","£40,972","£85,000",Theatre,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
GEM - Group for Education in Museums,IPSO,£0,£0,"£170,000",Museums,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
Gem Arts,NPO,"£120,000","£122,208","£202,208",Combined arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,,
Generator North East,NPO,"£156,051","£158,922","£158,922",Music,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
George Padmore Institute,NPO,£0,£0,"£73,000",Literature,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,,
Global Grooves,NPO,"£125,000","£127,300","£236,300",Combined arts,North,North West,Stalybridge and Hyde,Tameside,LUCP,Non-Priority place,,
Gloucester Culture Trust,NPO,£0,£0,"£150,000",Not discipline specific,South West,South West,Gloucester,Gloucester,LUCP,Priority place,,
Gloucester Guildhall,NPO,£0,£0,"£250,000",Combined arts,South West,South West,Gloucester,Gloucester,LUCP,Priority place,,
Gloucestershire Everyman Theatre Ltd,NPO,"£377,547","£384,494","£384,494",Theatre,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,,
Gloucestershire Libraries & Information,NPO,£0,£0,"£250,000",Libraries,South West,South West,Gloucester,Gloucester,LUCP,Priority place,,
Glyndebourne Productions Ltd,NPO,"£1,629,055","£1,659,030","£800,000",Music,South East,South East,Lewes,Lewes,Non-LUCP,Non-Priority place,,
Godiva Awakes Trust,NPO,£0,£0,"£300,000",Combined arts,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,,
Goole Town Council,NPO,"£68,995","£70,265","£79,345",Combined arts,North,Yorkshire and The Humber,Brigg and Goole,East Riding of Yorkshire,LUCP,Non-Priority place,,
Gorilla Circus,NPO,£0,£0,"£200,000",Theatre,South East,East of England,North East Cambridgeshire,Fenland,LUCP,Priority place,,
Graeae Theatre Company Ltd,NPO,"£564,399","£574,784","£769,104",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Grand Union Arts CIO,NPO,"£98,000","£99,803","£99,803",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Great Georges Community Cultural Project Ltd,NPO,"£110,000","£112,024","£194,691",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Greater Manchester Arts Centre Ltd,NPO,"£1,297,513","£1,321,387","£1,321,387",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Greenwich+Docklands Festivals,NPO,"£249,500","£254,091","£254,091",Combined arts,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,,
Grimm & Co,NPO,"£115,000","£117,116","£247,116",Literature,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,,
Grizedale Arts,NPO,"£197,696","£201,334","£201,334",Visual arts,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,,
Grundy Art Gallery,NPO,"£43,122","£43,915","£83,000",Visual arts,North,North West,Blackpool North and Cleveleys,Blackpool,LUCP,Priority place,,
Gunnersbury Park Museum,NPO,£0,£0,"£129,500",Museums,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,,
hÅb,NPO,"£70,406","£71,701","£71,701",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Hackney Empire Ltd,NPO,"£368,514","£375,295","£375,295",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Half Moon Young People's Theatre,NPO,"£217,451","£221,452","£221,452",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Halle Concerts Society,NPO,"£2,083,674","£2,122,014","£2,122,014",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Hampshire Cultural Trust,NPO,£0,£0,"£500,000",Combined arts,South West,South East,Winchester,Winchester,Non-LUCP,Non-Priority place,,
Hastings Contemporary,NPO,"£100,000","£101,840","£101,840",Visual arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,,
Hastings Museum and Art Gallery,NPO,£0,£0,"£150,000",Museums,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,,
Havering Theatre Trust,NPO,"£277,032","£282,129","£482,129",Theatre,London,London,Hornchurch and Upminster,Havering,Non-LUCP,Non-Priority place,,
Headlong Theatre Ltd,NPO (Transfer),"£679,794","£692,302","£692,302",Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Heads Together Productions Limited,NPO,"£46,605","£47,463","£50,000",Combined arts,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,,
Headway Arts,NPO,£0,£0,"£96,000",Combined arts,North,North East,Blyth Valley,Northumberland,LUCP,Non-Priority place,,
Heart n Soul,NPO,"£299,395","£304,904","£304,904",Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Heart of Glass,NPO,"£350,000","£356,440","£356,440",Combined arts,North,North West,St Helens South and Whiston,St. Helens,LUCP,Non-Priority place,,
Helix Arts Ltd,NPO,"£108,342","£110,335","£195,335",Combined arts,North,North East,North Tyneside,North Tyneside,LUCP,Non-Priority place,,
Heritage and Culture - NSDC,NPO,£0,£0,"£309,000",Not discipline specific,Midlands,East Midlands,Newark,Newark and Sherwood,LUCP,Non-Priority place,,
